id,priority,idRow,team,deadLine,feature,description,link,statusRequeriment,approved,orderRequeriment
5,0,LOC10,Editorial,09/15/2018,Youth Olympic Games landing page,,Confluence page</a>,Processing,true,1
6,0,,Editorial,09/15/2018,Add in YOG Cat in Olympic Story,,,Processing,true,2
7,0,LOC13,Editorial,09/15/2018,Native destinations for Olympic Games replays (Related to YOG landing page),,link to Olympic games page</a>,In queue,true,3
8,0,,Editorial,,Geo-Localization (part 2),Ability to manage/geoblock OCS Events in forge in order to mirror the relevant geo-restrictions.,Confluence Page</a>,In queue,true,4
9,0,LOC9,Editorial,,Podcast Audio player,,Confluence link</a>,In queue,true,5
10,0,,Digital,,Multi-Sports Video Player,,,In queue,true,6
11,0,SEO,SEO/Editorial David/Iacopo,,Meta description/ meta-title - Videos,"for each image sent by WON, we will send an alt text and and title. It should be used in the image meta data",Confluence Page</a>,In queue,true,7
12,0,SEO,SEO/Editorial David/Iacopo,,Meta description/ meta-title - News/Stories,"the user should be able to add/edit alt text and image title for any image
 --to have it as a separate field in Forge and to be able to edit it. 
",Confluence Page</a>,In queue,true,8
13,0,CRM5,Editorial,,"Auto-login on OC platform when user comes from CRM e-mails, and use that infomation to give personalize the channel",CRM e-mails can be either to OC contacts but also Rio contacts or PC contacts,Confluence Page</a>,In queue,true,9
14,0,OPS,,,MOAT Integration,"JN: MOAT is a tool to provide Ad analytics. It requires from some changes, including a a plug-in installation. Further details can be provided through discussions with Moat.",Confluence Page</a>,In queue,true,10
15,0,,OPS,,Linear Mid rolls,"Support for midroll ad insertion on linear channels. initially the ad insertion will be done server side, however the work may require some integration/configuration changes in JW Player.",Confluence Page</a>,In queue,true,11
16,0,OPS,,, New ads/interactivity formats during live events,Support for new ways to interact and promote content or ads during lives through the usage of third party platforms. ,Confluence Page</a>,In queue,true,12
17,0,LOC6,Editorial / SEO,,"Separated text field for SEO, URL and headline","Currently all this is served by the title field (this req. need work on OC side as well) 
",Confluence Page</a>,In queue,true,13
18,0,LOC8,Editorial,,Created Youth Olympic Games category,Add the YOG category under Sports,Confluence Page</a>,In queue,true,14
19,1,LOC1,Editorial,,Geo-Localization (Part 3),"Other modules activated for geo-localization, and not limited only to the homepage.",Confluence Page</a>,In queue,true,15
109,1,,Editorial,,Hidden Events,"As an editor, I want to be able to provide a third party an “embed code” for a live event or program even when such a live event or program is not publicly listed in anyway in olympicchannel.com live page. The final business goal is that when content gets embedded on an external site, publication times and geo restrictions are kept as defined.",Confluence Page</a>,,false,1
20,0,LOC3,Editorial,,Embed social post,Add social post inside of the article page and if possible to have it for V2 as CR. this feature will be develop in V2 for Web and post V2 for APP,Confluence Page</a>,In queue,true,16
